,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
19,Tony Gonzalez*\GonzTo00,2000,24,1-13,KAN,NFL,16,16,174.3,267.3,10.89,16.71,0,0,0,0,0,0,0,0,93,1203,9,0
20,Julius Thomas\ThomJu00,2013,25,4-129,DEN,NFL,14,14,150.8,215.8,10.77,15.41,0,0,0,0,0,0,0,0,65,788,12,1
21,Dallas Clark\ClarDa00,2009,30,1-24,IND,NFL,16,16,171.7,271.7,10.73,16.98,0,0,0,0,0,2,11,0,100,1106,10,1
22,Vernon Davis\DaviVe00,2013,29,1-6,SFO,NFL,15,15,161.0,213.0,10.73,14.20,0,0,0,0,0,0,0,0,52,850,13,1
23,Tyler Eifert\EifeTy00,2015,25,1-21,CIN,NFL,13,12,139.5,191.5,10.73,14.73,0,0,0,0,0,0,0,0,52,615,13,0
24,George Kittle\KittGe00,2018,25,5-146,SFO,NFL,16,16,170.7,258.7,10.67,16.17,0,0,0,0,0,1,10,0,88,1377,5,0
25,Tony Gonzalez*\GonzTo00,2004,28,1-13,KAN,NFL,16,16,168.3,270.3,10.52,16.89,0,0,0,0,0,1,5,0,102,1258,7,0
26,Dave Casper*\CaspDa00,1982,30,2-45,HOU,NFL,9,9,93.2,129.2,10.36,14.36,0,0,0,0,0,2,9,0,36,573,6,1
27,Tony Gonzalez*\GonzTo00,2008,32,1-13,KAN,NFL,16,16,165.8,261.8,10.36,16.36,0,0,0,0,0,0,0,0,96,1058,10,0
28,Kellen Winslow*\WinsKe00,1981,24,1-13,SDG,NFL,16,16,165.5,253.5,10.34,15.84,0,2,0,0,0,0,0,0,88,1075,10,2
29,Zach Ertz\ErtzZa00,2018,28,2-35,PHI,NFL,16,16,164.3,280.3,10.27,17.52,0,0,0,0,0,0,0,0,116,1163,8,1
30,Owen Daniels\DaniOw00,2009,27,4-98,HOU,NFL,8,8,81.9,121.9,10.24,15.24,0,0,0,0,0,0,0,0,40,519,5,1
31,Antonio Gates\GateAn00,2009,29,,SDG,NFL,16,16,163.7,242.7,10.23,15.17,0,0,0,0,0,0,0,0,79,1157,8,1
32,Jimmy Graham\GrahJi00,2012,26,3-95,NOR,NFL,15,9,152.2,237.2,10.15,15.81,0,0,0,0,0,0,0,0,85,982,9,1
33,Todd Christensen\ChriTo00,1986,30,2-56,RAI,NFL,16,16,162.3,257.3,10.14,16.08,0,0,0,0,0,0,0,0,95,1153,8,1
34,Kellen Winslow*\WinsKe00,1983,26,1-13,SDG,NFL,16,16,162.2,250.2,10.14,15.64,0,0,0,0,0,0,0,0,88,1172,8,3
35,Tony Gonzalez*\GonzTo00,1999,23,1-13,KAN,NFL,15,15,150.9,226.9,10.06,15.13,0,0,0,0,0,0,0,0,76,849,11,2
36,Travis Kelce\KelcTr00,2017,28,3-63,KAN,NFL,15,15,150.5,233.5,10.03,15.57,0,1,0,0,1,2,7,0,83,1038,8,0
37,Delanie Walker\WalkHu00,2015,31,6-175,TEN,NFL,15,10,150.4,244.4,10.03,16.29,0,0,0,0,0,1,36,0,94,1088,6,0
38,Ben Coates\CoatBe00,1994,25,5-124,NWE,NFL,16,16,159.4,255.4,9.96,15.96,0,0,0,0,0,1,0,0,96,1174,7,2
39,Gary Barnidge\BarnGa01,2015,30,5-141,CLE,NFL,16,13,158.3,237.3,9.89,14.83,0,0,0,0,0,0,0,0,79,1043,9,0
40,Aaron Hernandez\HernAa00,2011,22,4-113,NWE,NFL,14,12,137.5,216.5,9.82,15.46,0,0,0,0,0,5,45,0,79,910,7,1
41,Jason Witten\WittJa00,2007,25,3-69,DAL,NFL,16,16,156.5,252.5,9.78,15.78,0,0,0,0,0,0,0,0,96,1145,7,1
42,Eric Ebron\EbroEr00,2018,25,1-10,IND,NFL,16,8,156.2,222.2,9.76,13.89,0,1,0,0,0,3,-8,1,66,750,13,1
43,Jason Witten\WittJa00,2010,28,3-69,DAL,NFL,16,16,156.2,250.2,9.76,15.64,0,0,0,0,0,0,0,0,94,1002,9,1
44,Wesley Walls\WallWe00,1999,33,2-56,CAR,NFL,16,16,154.2,217.2,9.64,13.58,0,0,0,0,0,0,0,0,63,822,12,1
45,Antonio Gates\GateAn00,2014,34,,SDG,NFL,16,14,154.1,223.1,9.63,13.94,0,0,0,0,0,0,0,0,69,821,12,1
46,Antonio Gates\GateAn00,2007,27,,SDG,NFL,16,16,152.4,227.4,9.53,14.21,0,0,0,0,0,0,0,0,75,984,9,0
47,Shannon Sharpe*\SharSh00,1993,25,7-192,DEN,NFL,16,12,152.5,233.5,9.53,14.59,0,0,0,0,0,0,0,0,81,995,9,1
48,Tony Gonzalez*\GonzTo00,2003,27,1-13,KAN,NFL,16,16,151.6,222.6,9.48,13.91,0,0,0,0,0,0,0,0,71,916,10,0
49,Greg Olsen\OlseGr00,2015,30,1-31,CAR,NFL,16,16,150.4,227.4,9.40,14.21,0,0,0,0,0,0,0,0,77,1104,7,1
50,Julius Thomas\ThomJu00,2014,26,4-129,DEN,NFL,13,10,120.9,163.9,9.30,12.61,0,0,0,0,0,0,0,0,43,489,12,1
51,Antonio Gates\GateAn00,2011,31,,SDG,NFL,13,13,119.8,183.8,9.22,14.14,0,0,0,0,0,0,0,0,64,778,7,0
52,Tony Gonzalez*\GonzTo00,2007,31,1-13,KAN,NFL,16,16,147.2,246.2,9.20,15.39,0,0,0,0,0,0,0,0,99,1172,5,0
53,Zach Ertz\ErtzZa00,2017,27,2-35,PHI,NFL,14,13,128.4,202.4,9.17,14.46,0,0,0,0,0,0,0,0,74,824,8,1
54,Paul Coffman\CoffPa00,1983,27,,GNB,NFL,16,16,146.4,200.4,9.15,12.53,0,0,0,0,0,0,0,0,54,814,11,1
55,Antonio Gates\GateAn00,2006,26,,SDG,NFL,16,16,146.4,217.4,9.15,13.59,0,0,0,0,0,0,0,0,71,924,9,0
56,Joe Senser\SensJo00,1981,25,6-152,MIN,NFL,16,16,145.6,224.6,9.10,14.04,0,0,0,0,0,1,2,0,79,1004,8,3
57,Brent Celek\CeleBr00,2009,24,5-162,PHI,NFL,16,15,145.1,221.1,9.07,13.82,0,0,0,0,0,0,0,0,76,971,8,0
58,Jimmy Graham\GrahJi00,2014,28,3-95,NOR,NFL,16,13,144.9,229.9,9.06,14.37,0,0,0,0,0,0,0,0,85,889,10,2
59,Ozzie Newsome*\NewsOz00,1982,26,1-23,CLE,NFL,9,9,81.3,130.3,9.03,14.48,0,0,0,0,0,0,0,0,49,633,3,0
60,Rob Gronkowski\GronRo00,2016,27,2-42,NWE,NFL,8,6,72.0,97.0,9.00,12.13,0,0,0,0,0,0,0,0,25,540,3,0
61,Jordan Cameron\CameJo00,2013,25,4-102,CLE,NFL,15,14,133.7,213.7,8.91,14.25,0,0,0,0,0,0,0,0,80,917,7,1
62,Kellen Winslow\WinsKe01,2007,24,1-6,CLE,NFL,16,14,142.6,224.6,8.91,14.04,0,0,0,0,0,0,0,0,82,1106,5,2
63,Jeremy Shockey\ShocJe00,2005,25,1-14,NYG,NFL,15,15,133.1,198.1,8.87,13.21,0,0,0,0,0,0,0,0,65,891,7,0
64,Todd Christensen\ChriTo00,1984,28,2-56,RAI,NFL,16,16,141.7,221.7,8.86,13.86,0,0,0,0,0,0,0,0,80,1007,7,1
65,Tony Gonzalez*\GonzTo00,2012,36,1-13,ATL,NFL,16,16,141.0,234.0,8.81,14.63,0,0,0,0,0,0,0,0,93,930,8,0
66,Heath Miller\MillHe00,2012,30,1-30,PIT,NFL,15,15,131.6,202.6,8.77,13.51,0,0,0,0,0,0,0,0,71,816,8,0
67,Dallas Clark\ClarDa00,2007,28,1-24,IND,NFL,15,15,130.5,188.5,8.70,12.57,0,0,0,0,0,2,29,0,58,616,11,0
68,Tyler Eifert\EifeTy00,2016,26,1-21,CIN,NFL,8,2,69.4,98.4,8.68,12.30,0,0,0,0,0,0,0,0,29,394,5,0
69,O.J. Howard\HowaO.00,2018,24,1-19,TAM,NFL,10,8,86.5,120.5,8.65,12.05,0,0,0,0,0,0,0,0,34,565,5,0
70,Ozzie Newsome*\NewsOz00,1981,25,1-23,CLE,NFL,16,16,138.2,207.2,8.64,12.95,0,0,0,0,0,2,20,0,69,1002,6,0
71,Travis Kelce\KelcTr00,2016,27,3-63,KAN,NFL,16,15,138.0,223.0,8.63,13.94,0,0,0,0,0,1,-5,0,85,1125,4,0
72,Shannon Sharpe*\SharSh00,1994,26,7-192,DEN,NFL,15,13,129.0,216.0,8.60,14.40,0,0,0,0,0,0,0,0,87,1010,4,1
73,Greg Olsen\OlseGr00,2014,29,1-31,CAR,NFL,16,16,136.8,220.8,8.55,13.80,0,0,0,0,0,0,0,0,84,1008,6,1
74,Jordan Reed\ReedJo02,2016,26,3-85,WAS,NFL,12,8,102.6,168.6,8.55,14.05,0,0,0,0,0,0,0,0,66,686,6,1
75,Shannon Sharpe*\SharSh00,1998,30,7-192,DEN,NFL,16,16,136.8,200.8,8.55,12.55,0,0,0,0,0,0,0,0,64,768,10,0
76,Jason Witten\WittJa00,2004,22,3-69,DAL,NFL,16,15,136.0,223.0,8.50,13.94,0,0,0,0,0,0,0,0,87,980,6,2
77,Tony Gonzalez*\GonzTo00,2013,37,1-13,ATL,NFL,16,16,135.9,218.9,8.49,13.68,0,0,0,0,0,0,0,0,83,859,8,0
78,Vernon Davis\DaviVe00,2010,26,1-6,SFO,NFL,16,16,135.4,191.4,8.46,11.96,0,0,0,0,0,0,0,0,56,914,7,0
79,Antonio Gates\GateAn00,2015,35,,SDG,NFL,11,4,93.0,149.0,8.45,13.55,0,0,0,0,0,0,0,0,56,630,5,0
80,Todd Christensen\ChriTo00,1985,29,2-56,RAI,NFL,16,16,134.7,216.7,8.42,13.54,0,0,0,0,0,0,0,0,82,987,6,0
81,Eric Green\GreeEr00,1991,24,1-21,PIT,NFL,11,11,92.2,133.2,8.38,12.11,0,0,0,0,0,0,0,0,41,582,6,2
82,Shannon Sharpe*\SharSh00,2003,35,7-192,DEN,NFL,15,15,125.0,187.0,8.33,12.47,0,0,0,0,0,0,0,0,62,770,8,0
83,Jason Witten\WittJa00,2013,31,3-69,DAL,NFL,16,16,133.1,206.1,8.32,12.88,0,0,0,0,0,0,0,0,73,851,8,0
84,Ozzie Newsome*\NewsOz00,1983,27,1-23,CLE,NFL,16,16,133.0,222.0,8.31,13.88,0,0,0,0,0,0,0,0,89,970,6,0
85,Tony Gonzalez*\GonzTo00,2001,25,1-13,KAN,NFL,16,16,132.2,205.2,8.26,12.83,1,1,40,0,0,1,9,0,73,917,6,0
86,Martellus Bennett\BennMa00,2014,27,2-61,CHI,NFL,16,15,131.6,221.6,8.23,13.85,0,0,0,0,0,0,0,0,90,916,6,0
87,Delanie Walker\WalkHu00,2016,32,6-175,TEN,NFL,15,10,123.1,188.1,8.21,12.54,0,0,0,0,0,2,11,0,65,800,7,1
88,Wesley Walls\WallWe00,1996,30,2-56,CAR,NFL,16,15,131.3,192.3,8.21,12.02,0,0,0,0,0,0,0,0,61,713,10,0
89,Don Hasselbeck\HassDo00,1981,26,2-52,NWE,NFL,14,14,114.8,160.8,8.20,11.49,0,0,0,0,0,0,0,0,46,808,6,2
90,Brent Jones\JoneBr00,1994,31,5-135,SFO,NFL,15,15,123.0,172.0,8.20,11.47,0,0,0,0,0,0,0,0,49,670,9,1
91,Shannon Sharpe*\SharSh00,1997,29,7-192,DEN,NFL,16,16,130.7,202.7,8.17,12.67,0,0,0,0,0,0,0,0,72,1107,3,1
92,Fred Davis\DaviFr01,2011,25,2-48,WAS,NFL,12,12,97.6,156.6,8.13,13.05,0,0,0,0,0,0,0,0,59,796,3,1
93,Tony Gonzalez*\GonzTo00,2006,30,1-13,KAN,NFL,15,15,122.0,195.0,8.13,13.00,0,0,0,0,0,0,0,0,73,900,5,1
94,Marcedes Lewis\LewiMa00,2010,26,1-28,JAX,NFL,16,16,130.0,188.0,8.13,11.75,0,0,0,0,0,0,0,0,58,700,10,2
95,Ozzie Newsome*\NewsOz00,1984,28,1-23,CLE,NFL,16,15,130.1,219.1,8.13,13.69,0,0,0,0,0,0,0,0,89,1001,5,0
96,Alge Crumpler\CrumAl00,2004,27,2-35,ATL,NFL,14,14,113.4,161.4,8.10,11.53,0,0,0,0,0,0,0,0,48,774,6,1
97,Tony Gonzalez*\GonzTo00,2011,35,1-13,ATL,NFL,16,16,129.5,209.5,8.09,13.09,0,0,0,0,0,0,0,0,80,875,7,0
98,Mickey Shuler\ShulMi00,1985,29,3-61,NYJ,NFL,16,13,128.9,204.9,8.06,12.81,0,0,0,0,0,0,0,0,76,879,7,1
99,Dallas Clark\ClarDa00,2008,29,1-24,IND,NFL,15,15,120.8,197.8,8.05,13.19,0,0,0,0,0,0,0,0,77,848,6,2
100,Chris Cooley\CoolCh00,2007,25,3-81,WAS,NFL,16,16,128.6,194.6,8.04,12.16,0,0,0,0,0,0,0,0,66,786,8,1
,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
101,Dwayne Allen\AlleDw00,2013,23,3-64,IND,NFL,1,1,8.0,9.0,8.00,9.00,0,0,0,0,0,0,0,0,1,20,1,0
102,Keith McKeller\McKeKe01,1987,23,9-227,BUF,NFL,1,1,8.0,17.0,8.00,17.00,0,0,0,0,0,0,0,0,9,80,0,0
103,Rodney Holman\HolmRo00,1989,29,3-82,CIN,NFL,16,15,127.6,177.6,7.98,11.10,0,0,0,0,0,0,0,0,50,736,9,0
104,Ben Coates\CoatBe00,1995,26,5-124,NWE,NFL,16,15,127.5,211.5,7.97,13.22,0,0,0,0,0,0,0,0,84,915,6,4
105,Todd Heap\HeapTo00,2005,25,1-31,BAL,NFL,16,16,127.5,202.5,7.97,12.66,0,0,0,0,0,0,0,0,75,855,7,2
106,Greg Olsen\OlseGr00,2016,31,1-31,CAR,NFL,16,16,127.3,207.3,7.96,12.96,0,0,0,0,0,0,0,0,80,1073,3,0
107,Todd Christensen\ChriTo00,1982,26,2-56,RAI,NFL,9,9,71.4,113.4,7.93,12.60,0,0,0,0,0,1,-6,0,42,510,4,3
108,Alge Crumpler\CrumAl00,2006,29,2-35,ATL,NFL,16,16,126.0,182.0,7.88,11.38,0,0,0,0,0,0,0,0,56,780,8,0
109,Aaron Hernandez\HernAa00,2012,23,4-113,NWE,NFL,10,10,78.8,129.8,7.88,12.98,0,0,0,0,0,1,5,0,51,483,5,0
110,Kyle Rudolph\RudoKy00,2016,27,2-43,MIN,NFL,16,16,126.0,209.0,7.88,13.06,0,0,0,0,0,0,0,0,83,840,7,0
111,Jared Cook\CookJa02,2018,31,3-89,OAK,NFL,16,14,125.6,193.6,7.85,12.10,0,0,0,0,0,0,0,0,68,896,6,0
112,Coby Fleener\FleeCo00,2014,26,2-34,IND,NFL,16,12,125.4,176.4,7.84,11.03,0,0,0,0,0,0,0,0,51,774,8,0
113,Todd Heap\HeapTo00,2002,22,1-31,BAL,NFL,16,16,125.4,193.4,7.84,12.09,0,1,0,0,0,4,38,0,68,836,6,0
114,Paul Coffman\CoffPa00,1984,28,,GNB,NFL,14,13,109.2,152.2,7.80,10.87,0,0,0,0,0,0,0,0,43,562,9,1
115,Jermichael Finley\FinlJe00,2011,24,3-91,GNB,NFL,16,13,124.7,179.7,7.79,11.23,0,0,0,0,0,0,0,0,55,767,8,0
116,Jimmy Graham\GrahJi00,2016,30,3-95,SEA,NFL,16,15,124.3,189.3,7.77,11.83,0,0,0,0,0,1,0,0,65,923,6,2
117,Ben Coates\CoatBe00,1996,27,5-124,NWE,NFL,16,15,124.2,186.2,7.76,11.64,0,0,0,0,0,0,0,0,62,682,9,1
118,Jason Witten\WittJa00,2011,29,3-69,DAL,NFL,16,16,124.2,203.2,7.76,12.70,0,0,0,0,0,0,0,0,79,942,5,1
119,Jordan Reed\ReedJo02,2013,23,3-85,WAS,NFL,9,4,69.7,114.7,7.74,12.74,0,0,0,0,0,1,18,0,45,499,3,0
120,Tony Gonzalez*\GonzTo00,2009,33,1-13,ATL,NFL,16,16,122.7,205.7,7.67,12.86,0,0,0,0,0,0,0,0,83,867,6,0
121,Shannon Sharpe*\SharSh00,1995,27,7-192,DEN,NFL,13,12,99.6,162.6,7.66,12.51,0,0,0,0,0,0,0,0,63,756,4,1
122,Visanthe Shiancoe\ShiaVi00,2009,29,3-91,MIN,NFL,16,13,122.6,178.6,7.66,11.16,0,0,0,0,0,0,0,0,56,566,11,0
123,Russ Francis\FranRu00,1980,27,1-16,NWE,NFL,15,15,114.4,155.4,7.63,10.36,0,0,0,0,0,0,0,0,41,664,8,0
124,Steve Jordan\JordSt00,1986,25,7-179,MIN,NFL,16,16,121.9,179.9,7.62,11.24,0,0,0,0,0,0,0,0,58,859,6,0
125,Jason Witten\WittJa00,2012,30,3-69,DAL,NFL,16,16,121.9,231.9,7.62,14.49,0,0,0,0,0,0,0,0,110,1039,3,0
126,Ben Coates\CoatBe00,1997,28,5-124,NWE,NFL,16,16,121.7,187.7,7.61,11.73,0,0,0,0,0,0,0,0,66,737,8,0
127,Cameron Brate\BratCa00,2016,25,,TAM,NFL,15,10,114.0,171.0,7.60,11.40,0,0,0,0,0,0,0,0,57,660,8,1
128,Eric Green\GreeEr00,1993,26,1-21,PIT,NFL,16,16,121.2,184.2,7.58,11.51,0,0,0,0,0,0,0,0,63,942,5,3
129,Derrick Ramsey\RamsDe00,1984,28,5-136,NWE,NFL,16,13,121.2,187.2,7.58,11.70,0,0,0,0,0,0,0,0,66,792,7,0
130,Mark Bavaro\BavaMa00,1986,23,4-100,NYG,NFL,16,15,121.1,187.1,7.57,11.69,0,0,0,0,0,0,0,0,66,1001,4,3
131,Jason Witten\WittJa00,2008,26,3-69,DAL,NFL,16,16,120.9,201.9,7.56,12.62,1,1,42,0,0,0,0,0,81,952,4,0
132,Doug Cosbie\CosbDo00,1982,26,3-76,DAL,NFL,9,9,67.9,97.9,7.54,10.88,0,0,0,0,0,1,-2,0,30,441,4,0
133,Rickey Dudley\DudlRi00,1997,25,1-9,OAK,NFL,16,16,120.7,168.7,7.54,10.54,0,0,0,0,0,0,0,0,48,787,7,0
134,Zach Ertz\ErtzZa00,2016,26,2-35,PHI,NFL,14,12,105.6,183.6,7.54,13.11,0,0,0,0,0,0,0,0,78,816,4,0
135,Dan Ross\RossDa00,1982,25,2-30,CIN,NFL,9,9,67.8,114.8,7.53,12.76,0,0,0,0,0,0,0,0,47,508,3,1
136,Delanie Walker\WalkHu00,2014,30,6-175,TEN,NFL,15,14,113.0,176.0,7.53,11.73,0,0,0,0,0,0,0,0,63,890,4,2
137,Jermichael Finley\FinlJe00,2009,22,3-91,GNB,NFL,13,10,97.6,152.6,7.51,11.74,0,0,0,0,0,0,0,0,55,676,5,1
138,Keith Jackson\JackKe00,1988,23,1-13,PHI,NFL,16,15,119.9,200.9,7.49,12.56,0,0,0,0,0,0,0,0,81,869,6,3
139,Alge Crumpler\CrumAl00,2005,28,2-35,ATL,NFL,16,16,119.7,184.7,7.48,11.54,0,0,0,0,0,0,0,0,65,877,5,1
140,Charles Clay\ClayCh00,2013,24,6-174,MIA,NFL,16,15,119.4,188.4,7.46,11.78,0,0,0,0,0,7,15,1,69,759,6,0
141,Tony Gonzalez*\GonzTo00,2002,26,1-13,KAN,NFL,16,16,119.3,182.3,7.46,11.39,0,0,0,0,0,0,0,0,63,773,7,0
142,Kellen Winslow\WinsKe01,2009,26,1-6,TAM,NFL,16,14,119.1,196.1,7.44,12.26,0,0,0,0,0,1,7,0,77,884,5,0
143,Antonio Gates\GateAn00,2008,28,,SDG,NFL,16,16,118.4,178.4,7.40,11.15,0,0,0,0,0,0,0,0,60,704,8,1
144,Emery Moorehead\MoorEm00,1982,28,6-153,CHI,NFL,9,9,66.6,96.6,7.40,10.73,0,0,0,0,0,2,3,0,30,363,5,0
145,Evan Engram\EngrEv00,2018,24,1-23,NYG,NFL,11,8,81.3,126.3,7.39,11.48,0,0,0,0,0,3,36,0,45,577,3,0
146,Dan Ross\RossDa00,1981,24,2-30,CIN,NFL,16,16,118.0,189.0,7.38,11.81,0,0,0,0,0,0,0,0,71,910,5,3
147,Wesley Walls\WallWe00,1997,31,2-56,CAR,NFL,15,15,110.6,168.6,7.37,11.24,0,0,0,0,0,0,0,0,58,746,6,0
148,Greg Olsen\OlseGr00,2013,28,1-31,CAR,NFL,16,16,117.6,190.6,7.35,11.91,0,0,0,0,0,0,0,0,73,816,6,0
149,Ben Coates\CoatBe00,1998,29,5-124,NWE,NFL,14,14,102.8,169.8,7.34,12.13,0,0,0,0,0,0,0,0,67,668,6,0
150,Travis Kelce\KelcTr00,2015,26,3-63,KAN,NFL,16,16,117.5,189.5,7.34,11.84,0,0,0,0,0,0,0,0,72,875,5,2
151,Jimmie Giles\GileJi00,1982,28,3-70,TAM,NFL,9,9,66.0,94.0,7.33,10.44,0,0,0,0,0,1,1,0,28,499,3,2
152,Robert Awalt\AwalRo00,1987,23,3-62,STL,NFL,12,9,87.7,129.7,7.31,10.81,0,0,0,0,0,2,-9,0,42,526,6,0
153,Evan Engram\EngrEv00,2017,23,1-23,NYG,NFL,15,11,109.6,173.6,7.31,11.57,0,0,0,0,0,1,14,0,64,722,6,0
154,Mickey Shuler\ShulMi00,1988,32,3-61,NYJ,NFL,15,15,109.5,179.5,7.30,11.97,0,0,0,0,0,0,0,0,70,805,5,1
155,Keith Jackson\JackKe00,1990,25,1-13,PHI,NFL,14,14,102.0,152.0,7.29,10.86,0,0,0,0,0,0,0,0,50,670,6,1
156,Jeremy Shockey\ShocJe00,2003,23,1-14,NYG,NFL,9,9,65.5,113.5,7.28,12.61,0,0,0,0,0,0,0,0,48,535,2,1
157,Ben Watson\WatsBe00,2015,35,1-32,NOR,NFL,16,16,116.5,190.5,7.28,11.91,0,0,0,0,0,0,0,0,74,825,6,1
158,Zach Miller\MillZa02,2016,32,6-180,CHI,NFL,10,8,72.6,119.6,7.26,11.96,0,0,0,0,0,0,0,0,47,486,4,0
159,Jason Witten\WittJa00,2009,27,3-69,DAL,NFL,16,16,115.0,209.0,7.19,13.06,0,0,0,0,0,0,0,0,94,1030,2,0
160,Heath Miller\MillHe00,2009,27,1-30,PIT,NFL,16,16,114.9,190.9,7.18,11.93,0,0,0,0,0,0,0,0,76,789,6,2
161,Owen Daniels\DaniOw00,2012,30,4-98,HOU,NFL,15,14,107.6,169.6,7.17,11.31,0,0,0,0,0,0,0,0,62,716,6,0
162,Vernon Davis\DaviVe00,2011,27,1-6,SFO,NFL,16,16,114.7,181.7,7.17,11.36,0,0,0,0,0,2,-5,0,67,792,6,3
163,Jimmie Giles\GileJi00,1981,27,3-70,TAM,NFL,16,16,114.6,159.6,7.16,9.98,0,0,0,0,0,0,0,0,45,786,6,0
164,Rob Gronkowski\GronRo00,2010,21,2-42,NWE,NFL,16,11,114.6,156.6,7.16,9.79,0,0,0,0,0,0,0,0,42,546,10,1
165,Greg Olsen\OlseGr00,2012,27,1-31,CAR,NFL,16,16,114.3,183.3,7.14,11.46,0,0,0,0,0,0,0,0,69,843,5,0
166,Jimmy Graham\GrahJi00,2017,31,3-95,SEA,NFL,16,13,114.0,171.0,7.13,10.69,0,0,0,0,0,0,0,0,57,520,10,0
167,Ben Coates\CoatBe00,1993,24,5-124,NWE,NFL,16,10,113.9,166.9,7.12,10.43,0,0,0,0,0,0,0,0,53,659,8,0
168,Doug Cosbie\CosbDo00,1985,29,3-76,DAL,NFL,16,16,113.3,177.3,7.08,11.08,0,0,0,0,0,0,0,0,64,793,6,2
169,Mickey Shuler\ShulMi00,1984,28,3-61,NYJ,NFL,16,16,113.2,181.2,7.08,11.33,0,0,0,0,0,0,0,0,68,782,6,1
170,Martellus Bennett\BennMa00,2016,29,2-61,NWE,NFL,16,12,113.1,168.1,7.07,10.51,0,0,0,0,0,2,10,0,55,701,7,0
171,Johnny Mitchell\MitcJo00,1993,22,1-15,NYJ,NFL,14,14,99.0,138.0,7.07,9.86,0,0,0,0,0,0,0,0,39,630,6,0
172,Ryan Krause\KrauRy00,2004,23,6-169,SDG,NFL,2,1,14.1,19.1,7.05,9.55,0,0,0,0,0,0,0,0,5,81,1,0
